,agency,amended_notice,amended_notice_date,comment_due_review_date,comment_letter_date,comment_letters,comment_letters_titles,contact_name,contact_phone,date_uploaded,document_type,eis_number,federal_register_date,rating,report_files,report_files_titles,report_link,state,supplemental_info,title,website
345,USAF,,,03/24/2014,03/24/2014,../(PDFView)/20140026/$file/20140026.PDF?OpenElement,EPA Comment Letter (PDF),Kevin Marek,240-612-8855,02/07/2014,Draft EIS,20140026,02/07/2014,EC2,../(EISDocs)/20140026/$file/Draft_KC-46A_MOB_2_EIS_Volume_I.pdf?OpenElement||../(EISDocs)/20140026/$file/Draft_KC-46A_MOB_2_EIS_Volume_II_Part_1.pdf?OpenElement||../(EISDocs)/20140026/$file/Draft_KC-46A_MOB_2_EIS_Volume_II_Part_2.pdf?OpenElement,EIS Document: Draft_KC-46A_MOB_2_EIS_Volume_I.pdf||EIS Document: Draft_KC-46A_MOB_2_EIS_Volume_II_Part_1.pdf||EIS Document: Draft_KC-46A_MOB_2_EIS_Volume_II_Part_2.pdf,02/07/2014,NH, ,Second Main Operating Base KC-46A Beddown Alternative Air National Guard Installations,
346,USFS,,,03/31/2014,03/31/2014,../(PDFView)/20140031/$file/20140031.PDF?OpenElement,EPA Comment Letter (PDF),Karen Gallogly,208-756-5103,02/07/2014,Final Supplement,20140031,02/07/2014,,../(EISDocs)/20140031/$file/01292014 SCNF Travel Plan Draft Revised ROD.pdf?OpenElement||../(EISDocs)/20140031/$file/Salmon Challis FSEIS 2014013 MASTERr.pdf?OpenElement||../(EISDocs)/20140031/$file/Salmon Challis FSEIS Volume 220140131r.pdf?OpenElement,EIS Document: 01292014 SCNF Travel Plan Draft Revised ROD.pdf||EIS Document: Salmon Challis FSEIS 2014013 MASTERr.pdf||EIS Document: Salmon Challis FSEIS Volume 220140131r.pdf,02/07/2014,ID, ,Salmon-Challis National Forest Travel Planning and OHV Route Designation Project,
347,USFS,,,03/24/2014,03/27/2014,../(PDFView)/20140027/$file/20140027.PDF?OpenElement,EPA Comment Letter (PDF),Sarah Canepa,406-295-4693,02/07/2014,Draft EIS; Draft EIS,20140027,02/07/2014,EC2,../(EISDocs)/20140027/$file/Buckhorn Draft Environmental Impact Statement.pdf?OpenElement,EIS Document: Buckhorn Draft Environmental Impact Statement.pdf,02/07/2014,MT, ,Buckhorn Project,
348,BIA,,,03/03/2014,03/03/2014,,,Chester McGhee,615-564-6830,01/31/2014,Final EIS; Final EIS,20140022,01/31/2014,,../(EISDocs)/20140022/$file/FEIS Proposed Stockbridge-Munsee Casino.pdf?OpenElement||../(EISDocs)/20140022/$file/FEIS Proposed Stockbridge-Munsee Casino Appendices.pdf?OpenElement,EIS Document: FEIS Proposed Stockbridge-Munsee Casino.pdf||EIS Document: FEIS Proposed Stockbridge-Munsee Casino Appendices.pdf,01/31/2014,NY, ,"Stockbridge-Munsee Community, Proposed Fee to Trust Conveyance of Property and Casino Project",
349,FRA,,,03/24/2014,03/07/2014,,,Michelle W. Fishburne,202-493-0398,01/31/2014,Draft EIS; Draft EIS,20140019,01/31/2014,EC2,../(EISDocs)/20140019/$file/e-NEPA Transmittal Letter.pdf?OpenElement||../(EISDocs)/20140019/$file/Empire Corridor Tier 1 Draft EIS Volume 1.pdf?OpenElement||../(EISDocs)/20140019/$file/Empire Corridor Tier 1 Draft EIS Volume 2 Appendix A.pdf?OpenElement||../(EISDocs)/20140019/$file/Empire Corridor Tier 1 Draft EIS Volume 3 Appendices B through H.pdf?OpenElement||../(EISDocs)/20140019/$file/Empire Corridor Tier 1 Draft EIS Volume 4 Appendices I and J.pdf?OpenElement,EIS Document: e-NEPA Transmittal Letter.pdf||EIS Document: Empire Corridor Tier 1 Draft EIS Volume 1.pdf||EIS Document: Empire Corridor Tier 1 Draft EIS Volume 2 Appendix A.pdf||EIS Document: Empire Corridor Tier 1 Draft EIS Volume 3 Appendices B through H.pdf||EIS Document: Empire Corridor Tier 1 Draft EIS Volume 4 Appendices I and J.pdf,01/31/2014,NY, ,High Speed Rail Empire Corridor Tier 1 ,
350,USA,,,03/03/2014,02/04/2014,../(PDFView)/20140020/$file/20140020.PDF?OpenElement,EPA Comment Letter (PDF),Matthew Sprau,907-361-9688,01/31/2014,Final EIS,20140020,01/31/2014,,../(EISDocs)/20140020/$file/Final EIS_Disposition of Hangars 2 and 3_Fort Wainwright Alaska.pdf?OpenElement,EIS Document: Final EIS_Disposition of Hangars 2 and 3_Fort Wainwright Alaska.pdf,01/31/2014,AK, ,Fort Wainwright Hangars 2 and 3 Disposition,
351,USFS,,,03/17/2014,03/17/2014,../(PDFView)/20140021/$file/20140021.PDF?OpenElement,EPA Comment Letter (PDF),Crispin Holland,209-532-3671 ext. 274,01/31/2014,Draft EIS,20140021,01/31/2014,EC2,../(EISDocs)/20140021/$file/BEH Rangeland Allotments (33836) Draft Environmental Impact Statement.pdf?OpenElement,EIS Document: BEH Rangeland Allotments (33836) Draft Environmental Impact Statement.pdf,01/31/2014,CA, ,BEH Rangeland Allotments,
352,USFS,,,03/17/2014,02/03/2014,,,Denise Beck,406-293-7773,01/31/2014,Draft Supplement; Draft Supplement,20140024,01/31/2014,EC2,,,01/31/2014,MT, ,Miller West Fisher Project,
353,USFS,,,03/17/2014,03/17/2014,../(PDFView)/20140023/$file/20140023.PDF?OpenElement,EPA Comment Letter (PDF),Jeff Marszal,541-416-6436,01/31/2014,Draft EIS; Draft EIS,20140023,01/31/2014,LO,../(EISDocs)/20140023/$file/Wolf_Fuels_and_Vegetation_Management_Project.pdf?OpenElement,EIS Document: Wolf_Fuels_and_Vegetation_Management_Project.pdf,01/31/2014,OR, ,Wolf Fuels and Vegetation Management Project,
354,FHWA,,,03/10/2014,03/10/2014,../(PDFView)/20140014/$file/20140014.PDF?OpenElement,EPA Comment Letter (PDF),Catherine A. Batey,217-492-4600,01/24/2014,Second Draft EIS (Tiering),20140014,01/24/2014,EC2,../(EISDocs)/20140014/$file/1.0 Purpose and Need_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/2.0 Alternatives_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.01 Introduction_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.02 Social_and_Economic_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.03 Agricultural_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.04 Cultural Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.05 Air Quality_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.06 Noise_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.07 Energy_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.08 Natural Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.09 Water Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.10 Groundwater Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.11 Floodplains_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.12 Wetlands_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.13 Special-Haz Waste_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.14 Special Lands_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.15 Permits and Certs_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.16 Mineral Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.17 Visual Resources_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.18 Indirect_and_Cumulative_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.19 IL-53 Design Options_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.20 Construction Impacts_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.21 Relationship Btwn Short-term and Long-term_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.22 Irreversible-Irretrievable Commitments_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.23 DEIS_EnviroMS_Legend_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/3.24 DEIS_EnviroMS_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/4.0 Section 4f_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/5.0 Comparison of Alternatives_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/6.0 Comments and Coordination_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/7.0 List of Preparers_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/8.0 List of DEIS Recipients_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/9.0 References_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/9.1 Index_010914.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_A_Geographic_Information_Systems_Technical_Documentation_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_B_Historic_and_Forecasted_Growth_of_Population_and_Employment_0212.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_C_Toll_Sensitivity_Analysis_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_D_Alternative_Worksheets_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_E_Illiana_Corridor_Tier_Two_Final_Scoping_Report_0813.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_1_of_5.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_2_of_5.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_3_of_5.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_4_of_5.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_5_of_5.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_G_Illiana_Travel_Forecasting_Model_Tech_Memo_0412.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_H_Cost_Estimating_Procedures_for_Roadway_System_Alternatives_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_I_Corridor_Land_Use_Planning_Initiative_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_J_NRCS-CPA-106_Forms_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_1_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_2_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_3_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_4_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_5_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_6_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_7_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_8_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_K_Section_106_Materials_and_Correspondence_Pt_9_of_9.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_L_Air_Quality_Tech_Report_0114.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_M_Noise_Technical_Report_1213.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_N_Section_7_Materials_and_Correspondence_0114_Pt_1_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_N_Section_7_BA_Appendices_A_thru_D_0114_Pt_2_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_N_Section_7_BA_Appendices_E_thru_O_0114_Pt_3_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_O_Wildlife_Corridor_Assessment_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_P_Grassland_Bird_Impacts_Tech_Report_0114.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_Q_Project_Initiation_Materials_and_Correspondence_1113.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_R_NEPA_Concurrence_Points_1213.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_1_of_4.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_2_of_4.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_3_of_4.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_4_of_4.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_T_Public_Meetings_&_Materials_1113_Part_1_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_T_Public_Meetings_&_Materials_1113_Part_2_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_T_Public_Meetings_&_Materials_1113_Part_3_of_3.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_U_Lorenzo_Road_Meeting_Materials_and_Corresp_1213_Part_1_of_2.pdf?OpenElement||../(EISDocs)/20140014/$file/Appendix_U_Lorenzo_Road_Meeting_Materials_and_Corresp_1213_Part_2_of_2.pdf?OpenElement,EIS Document: 1.0 Purpose and Need_010914.pdf||EIS Document: 2.0 Alternatives_010914.pdf||EIS Document: 3.01 Introduction_010914.pdf||EIS Document: 3.02 Social_and_Economic_010914.pdf||EIS Document: 3.03 Agricultural_010914.pdf||EIS Document: 3.04 Cultural Resources_010914.pdf||EIS Document: 3.05 Air Quality_010914.pdf||EIS Document: 3.06 Noise_010914.pdf||EIS Document: 3.07 Energy_010914.pdf||EIS Document: 3.08 Natural Resources_010914.pdf||EIS Document: 3.09 Water Resources_010914.pdf||EIS Document: 3.10 Groundwater Resources_010914.pdf||EIS Document: 3.11 Floodplains_010914.pdf||EIS Document: 3.12 Wetlands_010914.pdf||EIS Document: 3.13 Special-Haz Waste_010914.pdf||EIS Document: 3.14 Special Lands_010914.pdf||EIS Document: 3.15 Permits and Certs_010914.pdf||EIS Document: 3.16 Mineral Resources_010914.pdf||EIS Document: 3.17 Visual Resources_010914.pdf||EIS Document: 3.18 Indirect_and_Cumulative_010914.pdf||EIS Document: 3.19 IL-53 Design Options_010914.pdf||EIS Document: 3.20 Construction Impacts_010914.pdf||EIS Document: 3.21 Relationship Btwn Short-term and Long-term_010914.pdf||EIS Document: 3.22 Irreversible-Irretrievable Commitments_010914.pdf||EIS Document: 3.23 DEIS_EnviroMS_Legend_010914.pdf||EIS Document: 3.24 DEIS_EnviroMS_010914.pdf||EIS Document: 4.0 Section 4f_010914.pdf||EIS Document: 5.0 Comparison of Alternatives_010914.pdf||EIS Document: 6.0 Comments and Coordination_010914.pdf||EIS Document: 7.0 List of Preparers_010914.pdf||EIS Document: 8.0 List of DEIS Recipients_010914.pdf||EIS Document: 9.0 References_010914.pdf||EIS Document: 9.1 Index_010914.pdf||EIS Document: Appendix_A_Geographic_Information_Systems_Technical_Documentation_1113.pdf||EIS Document: Appendix_B_Historic_and_Forecasted_Growth_of_Population_and_Employment_0212.pdf||EIS Document: Appendix_C_Toll_Sensitivity_Analysis_1113.pdf||EIS Document: Appendix_D_Alternative_Worksheets_1113.pdf||EIS Document: Appendix_E_Illiana_Corridor_Tier_Two_Final_Scoping_Report_0813.pdf||EIS Document: Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_1_of_5.pdf||EIS Document: Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_2_of_5.pdf||EIS Document: Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_3_of_5.pdf||EIS Document: Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_4_of_5.pdf||EIS Document: Appendix_F_Sustainability_Opportunity_Areas_Technical_Memorandum_1113_Pt_5_of_5.pdf||EIS Document: Appendix_G_Illiana_Travel_Forecasting_Model_Tech_Memo_0412.pdf||EIS Document: Appendix_H_Cost_Estimating_Procedures_for_Roadway_System_Alternatives_1113.pdf||EIS Document: Appendix_I_Corridor_Land_Use_Planning_Initiative_1113.pdf||EIS Document: Appendix_J_NRCS-CPA-106_Forms_1113.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_1_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_2_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_3_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_4_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_5_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_6_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_7_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_8_of_9.pdf||EIS Document: Appendix_K_Section_106_Materials_and_Correspondence_Pt_9_of_9.pdf||EIS Document: Appendix_L_Air_Quality_Tech_Report_0114.pdf||EIS Document: Appendix_M_Noise_Technical_Report_1213.pdf||EIS Document: Appendix_N_Section_7_Materials_and_Correspondence_0114_Pt_1_of_3.pdf||EIS Document: Appendix_N_Section_7_BA_Appendices_A_thru_D_0114_Pt_2_of_3.pdf||EIS Document: Appendix_N_Section_7_BA_Appendices_E_thru_O_0114_Pt_3_of_3.pdf||EIS Document: Appendix_O_Wildlife_Corridor_Assessment_1113.pdf||EIS Document: Appendix_P_Grassland_Bird_Impacts_Tech_Report_0114.pdf||EIS Document: Appendix_Q_Project_Initiation_Materials_and_Correspondence_1113.pdf||EIS Document: Appendix_R_NEPA_Concurrence_Points_1213.pdf||EIS Document: Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_1_of_4.pdf||EIS Document: Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_2_of_4.pdf||EIS Document: Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_3_of_4.pdf||EIS Document: Appendix_S_Stakeholder_Meetings_and_Correspondence_1213_Pt_4_of_4.pdf||EIS Document: Appendix_T_Public_Meetings_&_Materials_1113_Part_1_of_3.pdf||EIS Document: Appendix_T_Public_Meetings_&_Materials_1113_Part_2_of_3.pdf||EIS Document: Appendix_T_Public_Meetings_&_Materials_1113_Part_3_of_3.pdf||EIS Document: Appendix_U_Lorenzo_Road_Meeting_Materials_and_Corresp_1213_Part_1_of_2.pdf||EIS Document: Appendix_U_Lorenzo_Road_Meeting_Materials_and_Corresp_1213_Part_2_of_2.pdf,01/24/2014,IL, ,Illiana Corridor Project Tier TwoTransportation System Improvements,
355,HHS,"Revision to the FR Notice Published 01/24/2014; Extending Comment Period from 
03/10/2014 to 04/10/2014",02/14/2014,04/10/2014,04/08/2014,../(PDFView)/20140012/$file/20140012.PDF?OpenElement,EPA Comment Letter (PDF),George Chandler,404-245-2763,01/24/2014,Draft EIS; Draft EIS,20140012,01/24/2014,LO,../(EISDocs)/20140012/$file/Draft EIS Roybal Campus 2025 Master Plan January 2014.pdf?OpenElement||../(EISDocs)/20140012/$file/DEIS Roybal Campus 2025 Master Plan Appendix January 2014.pdf?OpenElement||../(EISDocs)/20140012/$file/FRN NOA Roybal DEIS 06 Jan 2014.pdf?OpenElement,EIS Document: Draft EIS Roybal Campus 2025 Master Plan January 2014.pdf||EIS Document: DEIS Roybal Campus 2025 Master Plan Appendix January 2014.pdf||EIS Document: FRN NOA Roybal DEIS 06 Jan 2014.pdf,01/24/2014,GA, ,Centers for Disease Control and Prevention Roybal Campus 2015-2025 Master Plan,
356,NPS,,,02/24/2014,02/20/2014,../(PDFView)/20140015/$file/20140015.PDF?OpenElement,EPA Comment Letter (PDF),Jennifer Carpenter,307-344-2528,01/24/2014,Final EIS,20140015,01/24/2014,,../(EISDocs)/20140015/$file/YELL_BisonRemoteVaccination_FEIS.pdf?OpenElement,EIS Document: YELL_BisonRemoteVaccination_FEIS.pdf,01/24/2014,WY, ,Remote Vaccination Program to Reduce the Prevalence of Brucellosis in Yellowstone Bison,
357,USACE,,,02/24/2014,02/18/2014,../(PDFView)/20140013/$file/20140013.PDF?OpenElement,EPA Comment Letter (PDF),Jerry Nieto,505-342-3362,01/24/2014,Third Final Supplement,20140013,01/24/2014,,"../(EISDocs)/20140013/$file/GRR-SEIS-II_Rio Grande Floodway, San Acacia to BdA Project_final.pdf?OpenElement||../(EISDocs)/20140013/$file/App A-B - Letters of Interest; Section 404(b)(1) Guidelines Evaluation.pdf?OpenElement||../(EISDocs)/20140013/$file/App C - Endangered Species Act Consultation.pdf?OpenElement||../(EISDocs)/20140013/$file/App D-E - 1992 SEIS; FWCA Report.pdf?OpenElement||../(EISDocs)/20140013/$file/App F-1 to F-5, Engineering & Technical Appendices (1of2).pdf?OpenElement||../(EISDocs)/20140013/$file/App F-6 to F-10, Engineering & Technical Appendices (2of2).pdf?OpenElement||../(EISDocs)/20140013/$file/App F-11 - Real Estate; App G - Public Comments.pdf?OpenElement","EIS Document: GRR-SEIS-II_Rio Grande Floodway, San Acacia to BdA Project_final.pdf||EIS Document: App A-B - Letters of Interest; Section 404(b)(1) Guidelines Evaluation.pdf||EIS Document: App C - Endangered Species Act Consultation.pdf||EIS Document: App D-E - 1992 SEIS; FWCA Report.pdf||EIS Document: App F-1 to F-5, Engineering & Technical Appendices (1of2).pdf||EIS Document: App F-6 to F-10, Engineering & Technical Appendices (2of2).pdf||EIS Document: App F-11 - Real Estate; App G - Public Comments.pdf",01/24/2014,NM, ,"Rio Grande Floodway, San Acacia to Bosque del Apache Unit",
358,USFWS,,,03/26/2014,03/26/2014,../(PDFView)/20140016/$file/20140016.PDF?OpenElement,EPA Comment Letter (PDF),Brian Elkington,612-713-5168,01/24/2014,Draft EIS; Draft EIS,20140016,01/24/2014,EC2,../(EISDocs)/20140016/$file/Ballville Dam Draft EIS 01-17-2014.pdf?OpenElement||../(EISDocs)/20140016/$file/Ballville Dam Draft EIS 01-17-2014_Appendices.pdf?OpenElement||../(EISDocs)/20140016/$file/Appendix A Addendum.pdf?OpenElement,EIS Document: Ballville Dam Draft EIS 01-17-2014.pdf||EIS Document: Ballville Dam Draft EIS 01-17-2014_Appendices.pdf||EIS Document: Appendix A Addendum.pdf,01/24/2014,OH, ,Ballville Dam Project,
359,USMC,,,02/24/2014,02/24/2014,../(PDFView)/20140017/$file/20140017.PDF?OpenElement,EPA Comment Letter (PDF),Ms. Kelly Finn,(619) 532-4452,01/24/2014,Final EIS,20140017,01/24/2014,,../(EISDocs)/20140017/$file/Final Legislative EIS for Renewal of CMAGR Land Withdrawal.pdf?OpenElement,EIS Document: Final Legislative EIS for Renewal of CMAGR Land Withdrawal.pdf,01/24/2014,CA, ,LEGISLATIVE - Renewal of the Chocolate Mountain Aerial Gunnery Range Land Withdrawal,
360,USN,,,03/25/2014,03/10/2014,../(PDFView)/20140018/$file/20140018.PDF?OpenElement,EPA Comment Letter (PDF),John Mosher,360-257-3234,01/24/2014,Draft EIS,20140018,01/24/2014,EC1,../(EISDocs)/20140018/$file/Northwest_Training_and_Testing_Draft_EIS-OEIS_Volume_1.pdf?OpenElement||../(EISDocs)/20140018/$file/Northwest_Training_and_Testing_Draft_EIS-OEIS_Volume_2.pdf?OpenElement,EIS Document: Northwest_Training_and_Testing_Draft_EIS-OEIS_Volume_1.pdf||EIS Document: Northwest_Training_and_Testing_Draft_EIS-OEIS_Volume_2.pdf,01/24/2014,WA, ,Northwest Training and Testing,
361,FERC,,,03/03/2014,03/03/2014,../(PDFView)/20140009/$file/20140009.PDF?OpenElement,EPA Comment Letter (PDF),Danny Laffoon,202-502-6257,01/17/2014,Draft EIS,20140009,01/17/2014,EC2,../(EISDocs)/20140009/$file/Cameron Liquefaction Project Draft EIS_January 2013.pdf?OpenElement,EIS Document: Cameron Liquefaction Project Draft EIS_January 2013.pdf,01/17/2014,LA, ,Cameron LNG Liquefaction Project,
362,FHWA,,,03/07/2014,02/27/2014,,,Raegan Ball,573-638-2620,01/17/2014,Second Draft EIS (Tiering); Second Draft EIS (Tiering),20140008,01/17/2014,LO,../(EISDocs)/20140008/$file/I-70 Second Tier Draft EIS.pdf?OpenElement||../(EISDocs)/20140008/$file/I-70 Second Tier EIS Appendices.pdf?OpenElement||../(EISDocs)/20140008/$file/20140008.pdf?OpenElement,EIS Document: I-70 Second Tier Draft EIS.pdf||EIS Document: I-70 Second Tier EIS Appendices.pdf||EIS Document: 20140008.pdf,01/17/2014,MO, ,"Route I-70, Jackson County, from West of The Paseo Interchange to East of the Blue Ridge Cutoff Interchange",
363,NPS,,,03/18/2014,03/12/2014,../(PDFView)/20140010/$file/20140010.PDF?OpenElement,EPA Comment Letter (PDF),Brien Culhane,305-242-7717,01/17/2014,Draft EIS,20140010,01/17/2014,LO,../(EISDocs)/20140010/$file/Acquisition of Florida Power and Light Company Land in the East Everglades Expansion Area Draft Environmental Impact Statement.pdf?OpenElement,EIS Document: Acquisition of Florida Power and Light Company Land in the East Everglades Expansion Area Draft Environmental Impact Statement.pdf,01/17/2014,FL, ,"East Everglades Expansion Area, Land Acquisition ",
364,NPS,,,03/18/2014,03/18/2014,../(PDFView)/20140006/$file/20140006.PDF?OpenElement,EPA Comment Letter (PDF),Brent Steury,703-289-2500,01/17/2014,Draft EIS,20140006,01/17/2014,LO,../(EISDocs)/20140006/$file/Dyke Marsh Wetland Restoration Plan DEIS.pdf?OpenElement,EIS Document: Dyke Marsh Wetland Restoration Plan DEIS.pdf,01/17/2014,VA, ,Dyke Marsh Wetland Restoration and Long-term Management Plan,
365,NPS,,,03/23/2014,03/20/2014,../(PDFView)/20140005/$file/20140005.PDF?OpenElement,EPA Comment Letter (PDF),Greg Jarvis,303-969-2263,01/17/2014,Draft EIS,20140005,01/17/2014,LO,../(EISDocs)/20140005/$file/Lake Mead NRA_BLM Nevada Draft Wilderness Management Plan Environmental Impact Statement.pdf?OpenElement,EIS Document: Lake Mead NRA_BLM Nevada Draft Wilderness Management Plan Environmental Impact Statement.pdf,01/17/2014,NV, ,"Jimbilnan,  Pinto Valley,  Black Canyon,  Eldorado,  Ireteba Peaks,  Nellis Wash,  Spirit Mountain,  and Bridge Canyon Wilderness Areas Draft Wilderness Management Plan ",
366,USACE,,,02/18/2014,02/18/2014,../(PDFView)/20140011/$file/20140011.PDF?OpenElement,EPA Comment Letter (PDF),Dan Artho,916-557-7723,01/17/2014,Final EIS,20140011,01/17/2014,,../(EISDocs)/20140011/$file/Truckee_Final_EIS_for_S&A_Vol_I_04dec2013.pdf?OpenElement||../(EISDocs)/20140011/$file/Truckee_Final_EIS_for_S&A_Vol_II_05dec2013.pdf?OpenElement,EIS Document: Truckee_Final_EIS_for_S&A_Vol_I_04dec2013.pdf||EIS Document: Truckee_Final_EIS_for_S&A_Vol_II_05dec2013.pdf,01/17/2014,NV, ,Truckee Meadows Flood Control Project,
